feature,lr_coef_mean,lr_coef_std,lr_coef_abs_mean,rf_imp_mean,rf_imp_std,feature_type
q8point_C_cflank,0.022237700724339803,0.009872212796046784,0.022237700724339803,0.0034175192383419963,4.170417095015635e-05,handcrafted
q8trans_H_n_pep,0.08372583667607165,0.009320416062052906,0.08372583667607165,0.0033461068205446623,1.7470552486381213e-05,handcrafted
q8trans_G_n_pep,-0.006457524357589781,0.010662445297962798,0.006457524357589781,0.000737688064721646,1.1053596402708728e-05,handcrafted
q8trans_I_n_pep,0.3317041881831687,0.5997919886800569,0.3317041881831687,2.5877097669452363e-05,2.3952766988984505e-06,handcrafted
q8trans_E_n_pep,0.04060982128600377,0.00892280332416465,0.04060982128600377,0.0019330543614309807,2.659737959804223e-05,handcrafted
q8trans_B_n_pep,0.0,0.0,0.0,0.0,0.0,handcrafted
q8trans_T_n_pep,0.007455960172350144,0.006917447732800538,0.007455960172350144,0.0010069456343548477,2.0185588544239237e-05,handcrafted
q8trans_S_n_pep,0.00813701984295123,0.0037012244016421114,0.00813701984295123,0.0002582407933264635,2.943778253957772e-05,handcrafted
q8trans_C_n_pep,0.048886435338611214,0.006096527280959996,0.048886435338611214,0.00228442868837942,3.543404713700693e-05,handcrafted
q8trans_H_pep_c,0.029189907999066882,0.019632983687033017,0.029189907999066882,0.0034459958364609104,2.842973507919723e-05,handcrafted
q8trans_G_pep_c,-0.01489928752301756,0.004751844833449921,0.01489928752301756,0.00034346170636241,1.2043363899461606e-05,handcrafted
q8trans_I_pep_c,-0.024417155995821747,0.011529680577824025,0.024417155995821747,1.0769192477163581e-05,2.3409077674292397e-06,handcrafted
q8trans_E_pep_c,0.006358475154474826,0.0053568364288322096,0.006358475154474826,0.0021788029007186183,2.8352362085173993e-05,handcrafted
q8trans_B_pep_c,0.0,0.0,0.0,0.0,0.0,handcrafted
q8trans_T_pep_c,-0.013992780299954325,0.006158773347117867,0.013992780299954325,0.000884744684314614,1.7464463966914487e-05,handcrafted
q8trans_S_pep_c,-0.0009700290751850728,0.0032766448266524145,0.0009700290751850728,7.918786005104743e-05,6.448027604356771e-06,handcrafted
q8trans_C_pep_c,0.04683526335259468,0.005910421257663852,0.04683526335259468,0.002678667293284765,3.0551952921103895e-05,handcrafted
mean_plddt_peptide,0.03938263911920007,0.019769650018475596,0.03938263911920007,0.031506556289315354,0.0007615123317348309,handcrafted
mean_plddt_nflank,0.0005504381418601901,0.020767427773095915,0.0005504381418601901,0.03128181664964282,0.0007491777914451185,handcrafted
mean_plddt_cflank,0.03760398051072439,0.008420229458457152,0.03760398051072439,0.030422308469090116,0.0007267760975378415,handcrafted
N4_A,-0.061594033615035085,0.0467249219000523,0.061594033615035085,0.0026224280584982553,3.316021722697361e-05,sparse_encoding
N4_C,-0.027651966268661086,0.021996002532568348,0.027651966268661086,0.0009901815925505888,4.1193439082191636e-05,sparse_encoding
N4_D,-0.1103591603106113,0.038968677325112146,0.1103591603106113,0.0020531805393310567,2.6621440336933072e-05,sparse_encoding
N4_E,-0.10438121461914407,0.047804273077986466,0.10438121461914407,0.002614324110525544,3.3046500785468705e-05,sparse_encoding
N4_F,-0.08008761078591572,0.030940328310624685,0.08008761078591572,0.001513415767225229,1.1703075492030434e-05,sparse_encoding
N4_G,-0.12124632474504864,0.03754565783413804,0.12124632474504864,0.002188668653977785,2.4276194908196322e-05,sparse_encoding
N4_H,-0.0533006202607275,0.028010927570113003,0.0533006202607275,0.0012645365835622581,3.780522321540395e-05,sparse_encoding
N4_I,-0.08301836186069086,0.03668939474519478,0.08301836186069086,0.0018312033364402572,3.843349590520415e-05,sparse_encoding
N4_K,-0.11331697777997288,0.03989604815116959,0.11331697777997288,0.0022462245217839587,1.1189726431643928e-05,sparse_encoding
N4_L,-0.12586970228727315,0.05040246384430491,0.12586970228727315,0.0028352181931538107,2.6502533659558172e-05,sparse_encoding
N4_M,-0.03699682551925583,0.023093902489519053,0.03699682551925583,0.0012494520438951148,2.0804466761875027e-05,sparse_encoding
N4_N,-0.06543106764006583,0.03825650940508033,0.06543106764006583,0.0017411751358599574,2.3361034110152798e-05,sparse_encoding
N4_P,-0.12087780546209234,0.03889548216244467,0.12087780546209234,0.001974942792853677,2.3293924011198382e-05,sparse_encoding
